,review,clear_review,predicted,candidat
899,da73468265 Merci Monsieur DupontAignan de vous battre pour nos droits notre liberté notre démocratie,da73468265 merc monsieur dupontaignan battr droit libert démocrat,1,None
678, TAÏWANJe métonne que von der Leyen BHL Jadot Hidalgo Nathalie Loiseau et consorts naient pas déjà exigé ladmission en urgence de Taïwan dans lUE et dans lOTAN Un nouveau risque de conflagration nucléaire mondialeça ne se refuse pas  httpstco0RuOUpZ31R,taïwanj méton von der leyen bhl jadot hidalgo nathal loiseau consort naient déjà exig ladmiss urgenc taïwan lu lotan nouveau risqu conflagr nucléair mondialec refus httpstco0ruoupz31r,0,None
679,Le vendredi 8 avril nous étions traités  damis de Poutine intouchables  et le lundi 11 nous étions ceux avec qui il est devenu urgent de discuter pour les législatives  À Fabien Roussel Yannick Jadot et Anne Hidalgo dexpliquer ce changement à leurs électeurs fbleunord,vendred 8 avril trait dam poutin intouch lund 11 ceux devenu urgent discut législ fabien roussel yannick jadot anne hidalgo dexpliqu chang leur électeur fbleunord,0,None
681, TAÏWANJe métonne que von der Leyen BHL Jadot Hidalgo Nathalie Loiseau et consorts naient pas déjà exigé ladmission en urgence de Taïwan dans lUE et dans lOTAN Un nouveau risque de conflagration nucléaire mondialeça ne se refuse pas  httpstco0RuOUpZ31R,taïwanj méton von der leyen bhl jadot hidalgo nathal loiseau consort naient déjà exig ladmiss urgenc taïwan lu lotan nouveau risqu conflagr nucléair mondialec refus httpstco0ruoupz31r,0,None
682,celiamebroukine Medinrecords Mediapart mathieu m Petite pensée à ceux qui disent  par conviction jai voté Jadot et par obligation je vais voter Macron ,celiamebroukin medinrecord mediapart mathieu petit pens ceux disent convict jai vot jadot oblig vais vot macron,0,None
683,Le vendredi 8 avril nous étions traités  damis de Poutine intouchables  et le lundi 11 nous étions ceux avec qui il est devenu urgent de discuter pour les législatives  À Fabien Roussel Yannick Jadot et Anne Hidalgo dexpliquer ce changement à leurs électeurs fbleunord,vendred 8 avril trait dam poutin intouch lund 11 ceux devenu urgent discut législ fabien roussel yannick jadot anne hidalgo dexpliqu chang leur électeur fbleunord,0,None
684,DujacquesJohane 1 Quand on voit les nuées de trolls FI sur les RS  en croisade pour insulterintimider les quelques militants FI prêts à faire barragevoter Macron et les enjoindre à ne pas le faire je ne suis pas certain que cette analyse soit loufoquejai voté JLM en 2017 Jadot en 2022,dujacquesjohan 1 quand voit nu troll fi r croisad insulterintimid quelqu milit fi prêt fair barragevot macron enjoindr fair certain cet analys loufoquej vot jlm 2017 jadot 2022,0,None
1374,Jespère que Marine Le Pen dira bien aux Français que cette élection du 2nd tour est un référendum  pour ou contre cinq années de plus avec Emmanuel MacronCest parce que je connais le bilan dEmmanuel Macron que je voterai Marine Le Pen httpstcoIIW1eKsaLz,jesper marin pen dir bien franc cet élect 2nd tour référendum contr cinq anné plus emmanuel macroncest parc con bilan demmanuel macron vot marin pen httpstcoiiw1eksalz,0,None
686, TAÏWANJe métonne que von der Leyen BHL Jadot Hidalgo Nathalie Loiseau et consorts naient pas déjà exigé ladmission en urgence de Taïwan dans lUE et dans lOTAN Un nouveau risque de conflagration nucléaire mondialeça ne se refuse pas  httpstco0RuOUpZ31R,taïwanj méton von der leyen bhl jadot hidalgo nathal loiseau consort naient déjà exig ladmiss urgenc taïwan lu lotan nouveau risqu conflagr nucléair mondialec refus httpstco0ruoupz31r,0,None
687,Le vendredi 8 avril nous étions traités  damis de Poutine intouchables  et le lundi 11 nous étions ceux avec qui il est devenu urgent de discuter pour les législatives  À Fabien Roussel Yannick Jadot et Anne Hidalgo dexpliquer ce changement à leurs électeurs fbleunord,vendred 8 avril trait dam poutin intouch lund 11 ceux devenu urgent discut législ fabien roussel yannick jadot anne hidalgo dexpliqu chang leur électeur fbleunord,0,None
