,review,clear_review,predicted,candidat
0,ca cest pour mes légendes de la nuitLe top8 du Pound tournoi qualificatif pour les worlds de Smash avec un Français Gluto de chez SOLARY qui va leur montrer comment on travaille httpstco4Pq7HehiuT httpstcouggGeTca9e,ca cest légend nuitl top8 pound tournoi qualif world smash franc gluto chez solary va montr comment travaill httpstco4pq7hehiut httpstcougggetca9,0,None
26,Nuit de la culture du questions pour un champion un samedi soir pour les gens qui sont recalés de boiteca fait si longtemps jespère trouver de la REPONSEhttpstco4Pq7HehiuT httpstcobczylkBKih,nuit cultur question champion samed soir gen recal boitec fait si longtemp jesper trouv reponsehttpstco4pq7hehiut httpstcobczylkbkih,1,None
27,Ahhh bonjour a tous passez tous une super journée ,ahhh bonjour a tous pass tous sup journ,1,None
28,Très bonne journée a tous ce week end sur la rayou télévision on ne sarrete jamaisNuit de la culture ce soir a 20h et recast du pound demain un major smash qualificatif pour les worldsBisous bonne journée a ce soir,tres bon journ a tous week end rayou télévis sarret jamaisnuit cultur soir a 20h recast pound demain major smash qualif worldsbisous bon journ a soir,1,None
29,On sest regalé,sest regal,0,None
30,httpstcoxnPFaM0eR4Discussion just chilling,httpstcoxnpfam0er4discuss just chilling,0,None
31,ZeratoR mdrrrrrrrrr le diner daffaires cest un sandwich saucisse avec Moman en slip,zerator mdrrrrrrrrr din daffair cest sandwich sauc moman slip,0,None
32,jvais me faire interviewer par samuel etienne ce soir a 20H30 chez lui cest une dinguerie jsuis allé plus de fois chez le présentateur que sur le plateau de son émission,jvais fair interview samuel etien soir a 20h30 chez cest dinguer jsuis allé plus fois chez présent plateau émiss,0,None
33,TPK live Tilted as fuck httpstcoVHIcLRKfdg,tpk liv tilted fuck httpstcovhiclrkfdg,0,None
34,Tilted as fuck Ouaip meme en avantage jai JAMAIS de double jump en fait je mash double jump tout le temps cest une habitude de merde,tilted fuck ouaip mem avantag jai jam doubl jump fait mash doubl jump tout temp cest habitud merd,0,None
25,GaetanDalibon on se retrouve ce soir a 18H pour un nouveau major,gaetandalibon retrouv soir a 18h nouveau major,0,None
35,Tilted as fuck Ca aussi javais jamais capté mais jai joué 1500 heures comme ca jsais pas si jarriverai a men sortir au moins jen ai conscience,tilted fuck ca auss jav jam capt jai jou 1500 heur comm ca jsais si jarriv a men sort moin jen conscienc,1,None
37,Tilted as fuck Ca me tilt jai perdu tellement de sets clutch contre trimkata tellement de noms juste parce que jautopilot double jump dans le neutral zzzzJmen suis JAMAIS rendu compte,tilted fuck ca tilt jai perdu tel set clutch contr trimkat tel nom just parc jautopilot doubl jump neutral zzzzjmen jam rendu compt,0,None
38,Alllastor Ouais putain je suis trop hype sur smash en ce moment ca ma pris dun coup,alllastor ouais putain trop hyp smash moment ca pris dun coup,0,None
39,Tout me semble logique jai le pire desavantage du jeu a cause dun reflexe de merde et jai mis presque 4 ans a men rendre compteMieux vaut tard que jamais,tout sembl logiqu jai pir desavantag jeu a caus dun reflex merd jai mis presqu 4 an a men rendr comptemi vaut tard jam,0,None
40,Comment reussir a trouver le sommeil quand jai enfin trouver le problème principal de mon jeu sur smashJe regarde toutes mes VOD tous mes anciens matchs et tout est logique maintenantCest incroyable la profondeur de ce jeu ca me donne tellement envie dêtre trop fort,comment reuss a trouv sommeil quand jai enfin trouv problem principal jeu smashj regard tout vod tous ancien match tout logiqu maintenantcest incroi profondeur jeu ca don tel envi dêtr trop fort,1,None
41,Top5 du FFS avec un début cataclysmique on choppe deux top1 avec le buff poubelle merci à tous davoir suivi fall guys est un jeu de fou,top5 ff début cataclysm chopp deux top1 buff poubel merc tous davoir suiv fall guy jeu fou,1,None
42,SamuelEtienne long time no see,samueletien long tim no se,0,None
43,ma performance sur ce FFS pour linstant httpstcogKP0P2PbpR,perform ff linst httpstcogkp0p2pbpr,0,None
44,MrBboy45 jte frotterai amoureusement seulement avec ton consentement,mrbboy45 jte frott amour seul consent,0,None
45,Après la catastrophe du dernier FFS Fall guys je reviens comme un conquérantJe me chauffe pour vous rendre fierhttpstco4Pq7HehiuT httpstcowvhI4ROKbT,apres catastroph derni ff fall guy revien comm conquérantj chauff rendr fierhttpstco4pq7hehiut httpstcowvhi4rokbt,0,None
36,Tilted as fuck Mais quand jobserve mes vod 80 de mes reverses viennent du fait que je mixup jamais ca et ca rend mon jeu trop lineaire,tilted fuck quand jobserv vod 80 revers viennent fait mixup jam ca ca rend jeu trop lineair,0,None
24,ca va,ca va,0,None
23,LitlessVAL il va le fumer ce new yorkais,litlessval va fum new york,0,None
22,Obito0  la vie des gens qui sont a jour sur one piece ca doit etre incroyable,obito0 vi gen a jour one piec ca doit etre incroi,1,None
1,est ce que jai des soldats de la nuit le tournoi smash a tellement de retard je mendors,jai soldat nuit tournoi smash a tel retard mendor,0,None
2,CosmosZR you are truly a legend the composure u had game 3 against Sean is the proof that u are a champion,cosmoszr you are truly a legend the composur u had gam 3 against sean is the proof that u are a champion,1,None
3,ya trop de retard on va lancer a 00H20,ya trop retard va lanc a 00h20,0,None
4,Akhoriz ya pas de meilleur controller en vrai la manette pro est trop cool la manette gamecube aussi ya pas de trucs optis,akhoriz ya meilleur controll vrai manet pro trop cool manet gamecub auss ya truc optis,1,None
5,je relance le live a 23H45 pour le top8 du poundpour mes perdus dans la nuit qui ont besoin de smash dans leurs vies je serai là,relanc liv a 23h45 top8 poundpour perdus nuit besoin smash leur vi là,1,None
