,review,clear_review,predicted,candidat
0,Sur lavenue des ChampsÉlysées il y a cinq ans le capitaine de police Xavier Jugelé a fait face à un terroriste La Nation allait perdre lun de ses héros engagés pour nous protéger Nous noublions pas,lavenu champsélys a cinq an capitain polic xavi jugel a fait fac terror nation allait perdr lun héros engag proteg noublion,1,None
126,Lois Egalim revalorisation des retraites agricoles évolution de la PAC À travers nos combats nationaux et européens nous nous battons pour que la valeur du travail de nos agriculteurs soit reconnue pour que leur rémunération soit juste,lois egalim revaloris retrait agricol évolu pac traver combat national européen batton valeur travail agriculteur reconnu rémuner just,1,None
127,Face à la crise sanitaire à la crise climatique à la guerre sur notre continent pour préserver notre agriculture lÉtat continuera dapporter son aide Mais cest par lengagement de toutes les filières que nous créerons les conditions de notre souveraineté alimentaire,fac cris sanitair cris climat guerr continent préserv agricultur létat continu dapport aid cest lengag tout fili cré condit souverainet alimentair,1,None
128,Ce Salon de lagriculture est celui des retrouvailles Deux années durant par votre engagement vous tout le monde agricole avez tenu et fait tenir la Nation Merci infiniment,salon lagricultur celui retrouvaill deux anné dur engag tout mond agricol tenu fait ten nation merc infin,1,None
129,Au Salon de lagriculturehttpstcoogMSIXoc67,salon lagriculturehttpstcoogmsixoc67,0,None
130,La guerre est là sur notre sol Dans les temps tragiques que nous vivons lEurope na dautre choix que de devenir une puissance httpstcoEQllCneROo,guerr là sol temp tragiqu vivon leurop na dautr choix deven puissanc httpstcoeqllcneroo,1,None
131,En Européens nous avons décidé daller plus loin pour protéger nos concitoyens En renforçant nos effectifs en Estonie en accélérant notre déploiement en Roumanie en étant mobilisés face à la désinformation  nous serons aux côtés de nos alliés de manière infaillible,européen décid dall plus loin proteg concitoyen renforc effect eston accéler déploi rouman mobilis fac désinform côt alli mani infaillibl,0,None
132,En Européens nous avons décidé dune aide économique à destination de lUkraine à hauteur de 12 milliard deuros Cest sans précédent Nous continuerons à livrer des matériels militaires et à soutenir la population dans cette épreuve,européen décid dun aid économ destin lukrain hauteur 12 milliard deuros cest san précédent continu livr matériel militair souten popul cet épreuv,0,None
133,En Européens nous avons décidé dinfliger des coups très sévères à Moscou sur des personnes sur les secteurs de la finance de lénergie des transports de lexport sur les visas Le régime biélorusse complice sera également visé,européen décid dinflig coup tres séver moscou person secteur financ lénerg transport lexport vis régim biéloruss complic égal vis,1,None
134,Il y a eu un choix délibéré et conscient de lancer la guerre quand nous pouvions encore négocier la paix En Européens ce soir nous avons décidé de répondre ,a choix déliber conscient lanc guerr quand pouvion encor négoci paix européen soir décid répondr,0,None
125,La troisième révolution agricole celle de lagriculture durable est en marche Pour que notre agriculture puisse continuer de se réinventer nous poursuivrons nos investissements 3 milliards deuros dans le cadre de notre plan de relance et de France 2030,troisiem révolu agricol cel lagricultur durabl march agricultur puiss continu réinvent poursuivron invest 3 milliard deuros cadr plan relanc franc 2030,1,None
135,En ces heures troubles où renaissent les fantômes du passé où les manipulations seront nombreuses ne cédons rien de notre unité httpstcodtJYtVNQmo,heur troubl où renaissent fantôm pass où manipul nombreux cédon rien unit httpstcodtjytvnqmo,0,None
137,En reniant sa parole en refusant la voie diplomatique en choisissant la guerre le Président Poutine na pas seulement attaqué lUkraine Il a décidé de porter latteinte la plus grave à la paix à la stabilité dans notre Europe,reni parol refus voi diplomat chois guerr président poutin na seul attaqu lukrain a décid port latteint plus grav paix stabl europ,1,None
138,Je veux saluer le courage et la détermination du peuple ukrainien Sa liberté est la nôtre,veux salu courag détermin peupl ukrainien libert nôtr,1,None
139,Adresse aux Français httpstco7TK8CFGQHm,adress franc httpstco7tk8cfgqhm,0,None
140,La France est solidaire de lUkraine Elle se tient aux côtés des Ukrainiens et agit avec ses partenaires et alliés pour que cesse la guerre,franc solidair lukrain tient côt ukrainien agit partenair alli cess guerr,1,None
