,review,clear_review,predicted,candidat
0,Un bloc dextrêmegauche et un bloc macroniste sorganisent pour les législatives Pendant ce temps le camp national est disperséJétais hier sur VAplus  pour parler de notre appel à une grande coalition du camp national aux législativesReplay  httpstconWUeS8yppn httpstcoX2jrtJWq2B,bloc dextrêmegauch bloc macron sorganisent législ pend temp camp national disperséjet hi vaplus parl appel grand coalit camp national législativesreplay httpstconwues8yppn httpstcox2jrtjwq2b,1,None
92, 1 million détrangers nont rien à faire en France  les condamnés et détenus étrangers les fichés S pour radicalisation les clandestinsOui il nous faut un ministère dédié à cette politique car la défaillance de lÉtat est total sur ce sujet   Seloncourt Remigration httpstcoLzfTAahOT0,1 million détranger nont rien fair franc condamn détenus étranger fich radicalis clandestinsou faut minister dédi cet polit car défaill létat total sujet seloncourt remigr httpstcolzftaahot0,0,None
91, Cette affaire McKinsey en dit long sur la vision du chef de lÉtat qui préfère recourir à des cabinets privés quà la haute fonction publique sen remet aux méthodes du privé pour organiser des services publics ou des politiques publiques  Seloncourt httpstcokZT6eHlPLU,cet affair mckinsey dit long vision chef létat préfer recour cabinet priv quà haut fonction publiqu sen remet méthod priv organis servic public polit publiqu seloncourt httpstcokzt6ehlplu,1,None
88, Jen appelle donc à votre mobilisation pour cette dernière ligne droite Allez convaincre vos proches vos familles vos amisDitesleur que nous notre pays na pas le luxe dattendre 5 années de plus  Vive les Français vive la France    Seloncourt Zemmour2022 httpstcodPRZPvg7A7,jen appel donc mobilis cet derni lign droit allez convaincr proch famill amisditesleur pay na lux dattendr 5 anné plus viv franc viv franc seloncourt zemmour2022 httpstcodprzpvg7a7,1,None
85, RÉUNION PUBLIQUE Lopération des 100 meetings de la reconquête continue  Nous serons demain avec jfpoisson78 à Thiers dans le PuydeDôme Venez nombreux  Inscrivezvous ici  httpstcomRqr8SfAEf httpstcoqTC0UMOWmO,réunion publiqu loper 100 meeting reconquêt continu demain jfpoisson78 thier puydedôm ven nombreux inscrivezvous ici httpstcomrqr8sfaef httpstcoqtc0umowmo,0,None
84, Cest un véritable scandale  Le meeting que je devais tenir demain avec jfpoisson78 a été saboté par la mairie communiste de ThiersJen appelle au Prefet63 et au gouvernementFR  estil normal dassister à un tel irrespect du débat démocratique en pleine campagne  httpstcoQd67bvwNnF,cest vérit scandal meeting dev ten demain jfpoisson78 a sabot mair commun thiersjen appel prefet63 gouvernementfr estil normal dassist tel irrespect débat démocrat plein campagn httpstcoqd67bvwnnf,0,None
83,Nous avons déposé un référéliberté avec jfpoisson78 afin que la réunion publique prévue à Thiers annulée arbitrairement par la mairie communiste puisse se tenir dans le délai de la campagne Le débat didées doit vivre dautant plus dans une campagne présidentielle ,dépos référélibert jfpoisson78 afin réunion publiqu prévu thier annul arbitrair mair commun puiss ten del campagn débat did doit vivr daut plus campagn présidentiel,1,None
82, Victoire  La justice a cassé la décision du maire qui a voulu saboter notre réunion publique  Elle aura donc bien lieu ce soir à 19h à Thiers Pour des raisons dorganisation jfpoisson78 et moimême ne pourrons être présents mais Reconquete63PdD vous attend nombreux   httpstco1RmXVwJjAo,victoir justic a cass décis mair a voulu sabot réunion publiqu donc bien lieu soir 19h thier raison dorganis jfpoisson78 moimêm pourron être présent reconquete63pdd attend nombreux httpstco1rmxvwjjao,0,None
79, Retrouvonsnous ce soir à 18h30 en direct sur ma page Facebook pour 30 minutes déchangesPosez dès maintenant vos questions en commentaires  httpstco6OmHD6JyPT httpstco5y5CiDwX9a,retrouvonsnous soir 18h30 direct pag facebook 30 minut déchangespos des mainten question commentair httpstco6omhd6jypt httpstco5y5cidwx9,0,None
78, RÉUNION PUBLIQUE Rendezvous ce dimanche à Maubeuge pour un meeting avec Stephane Ravier stanislasrig et AntoineDiers Soyez nombreux Infos et inscriptions ici  httpstcox6OFMRt5J4 httpstco5ynKnQmDjL,réunion publiqu rendezvous dimanch maubeug meeting stephan ravi stanislasrig antoinedi nombreux infos inscript ici httpstcox6ofmrt5j4 httpstco5ynknqmdjl,0,None
77, Choisissez votre peuple Choisissez notre histoireChoisissez notre identitéChoisissez notre avenirChoisissez la France JeVotePourZemmour Presidentielles httpstcobnL8EDNSGb,chois peupl chois histoirechois identitéchois avenirchois franc jevotepourzemmour presidentiel httpstcobnl8ednsgb,1,None
76,DIRECT  Cest parti  Rejoignezmoi maintenant sur Facebook je réponds à vos questions  httpstcoSGYRvqMo5VPrésidentielles httpstco98vBYMk8C8,direct cest part rejoignezmoi mainten facebook répond question httpstcosgyrvqmo5vprésidentiel httpstco98vbymk8c8,0,None
75,Si vous ne pouvez pas aller voter noubliez pas de faire votre procuration  httpstcoScd6Xv3l38JeVoteZemmour Presidentielles httpstco4PeMX6B8Cd,si pouv aller vot noubl fair procur httpstcoscd6xv3l38jevotezemmour presidentiel httpstco4pemx6b8cd,0,None
74, Je répondais hier à vos questions en direct sur ma page Facebook si vous souhaitez voir la vidéo voici la rediffusion   httpstcodpj8Sn6zWP,répond hi question direct pag facebook si souhait voir vidéo voic rediffu httpstcodpj8sn6zwp,1,None
73, Mes prochaines réunions publiques  Aujourdhui à 15h à Maubeuge  httpstcox6OFMRt5J4 Mardi 5 avril à 19h à Avignon  httpstcogRr3CL9eiCCest la dernière ligne droite venez nombreux JeVoteZemmour httpstcokVnZ4I5v0O,prochain réunion publiqu aujourdhui 15h maubeug httpstcox6ofmrt5j4 mard 5 avril 19h avignon httpstcogrr3cl9eiccest derni lign droit ven nombreux jevotezemmour httpstcokvnz4i5v0o,0,None
71, Conférence de presse avant le début de notre meeting à Maubeuge Nous sommes venus parler aux Français oubliés  désindustrialisation immigration désertion des services publics pouvoir dachat  pas de résignation ZemmourEric a les solutions PourLesFrançaisOubliés httpstcoui2xLuAvV1,conférent press avant début meeting maubeug venus parl franc oubli désindustrialis immigr désert servic public pouvoir dachat résign zemmoureric a solut pourlesfrançaisoubli httpstcoui2xluavv1,0,None
70,Début du meeting à Maubeuge   httpstcoGoE4WKtB0x,début meeting maubeug httpstcogoe4wktb0x,0,None
69, Merci à toute léquipe de Reconquête Nord pour leur accueil bravo aux militants et à GZ pour lorganisation de ce meeting et votre infatigable engagement sur le terrain Cest grâce à votre pugnacité et à votre flamme que la victoire sera possible   Maubeuge httpstcoCoH61TtAuS,merc tout léquip reconquêt nord accueil bravo milit gz lorganis meeting infatig engag terrain cest grâc pugnac flamm victoir possibl maubeug httpstcocoh61ttaus,1,None
67, Les Français sont en colère face à cet Etat qui ne les protège plus qui les met en danger en laissant une immigration chaotique sinstaller sur notre solOui nous avons eu raison de ne pas lâcher ce sujet fondamental et de proposer ce ministère de la remigration  Maubeuge httpstco3xft2IatWI,franc coler fac cet etat proteg plus met dang laiss immigr chaotiqu sinstall solou raison lâch sujet fondamental propos minister remigr maubeug httpstco3xft2iatw,0,None
131,Arrivée sur le plateau de FaceABaba sur C8 Je débattrai avec vpecresse à partir de 21h40  httpstcon97STHT54W,arriv plateau faceabab c8 débattr vpecress part 21h40 httpstcon97stht54w,0,None
