,review,clear_review,predicted,candidat
0,Passage004 Cette salle,passage004 cet sall,0,None
96,TenshiArakawa DarrianDaiko Omg,tenshiarakaw darriandaiko omg,0,None
97,fochterature Je pense que malgré le fait que je sois un riche je ne men cache pas on ne joue même pas du tout dans la même cour niveau indécence Dans tous les cas je réévoquerait tout ça en stream merci de pas avoir été insultant en tous cas dans ta critique,fochteratur pens malgr fait rich men cach jou tout cour niveau indécent tous cas réévoqu tout ça stream merc avoir insult tous cas critiqu,0,None
98,fochterature Je ne condamne pas non plus les millionnaires mais les milliardaires admettons que je gagne 20k par mois il me faudrait sans jamais ne rien dépenser attendre 4 166 ans pour avoir mon premier milliard Juste un seul milliard,fochteratur condamn non plus millionnair milliardair admetton gagn 20k mois faudr san jam rien dépens attendr 4 166 an avoir premi milliard just seul milliard,0,None
99,fochterature Le fait quils aient plus que moi je men fiche encore une fois Lécart entre les plus pauvres et moi est grand effectivement mais je ne vais pas jeter largent que je gagne en exploitant personne si les gens veulent subs à ma chaine ils le font de leur propre chef,fochteratur fait quil plus men fich encor fois lécart entre plus pauvr grand effect vais jet largent gagn exploit person si gen veulent sub chain font propr chef,1,None
100,LoL DFG Joyeux anniversaire mec,lol dfg joyeux anniversair mec,0,None
101,fochterature pas exister Je pense que tu fais référence à ce que jai pu dire hier soir quand les dons montaient très vite cétait pas prévu mais cette pensée ma frappée et je me suis dit que cétait un bon moment pour montrer à quel point ça peut être indécent,fochteratur exist pens fais référent jai pu dir hi soir quand don mont tres vit cet prévu cet pens frapp dit cet bon moment montr quel point ça peut être indécent,1,None
95,Domingo rebelrogueone Les vieux du stade,domingo rebelrogueon vieux stad,0,None
102,fochterature Je ne crache pas sur le fait quils font plus que moi croismoi je men fiche complètement et si des gens sont riches tant mieux pour eux Mais et ça ne reste que mon opinion un tel écart de richesse entre un Bezos et disons même quelquun qui a un million deuros ne devrait,fochteratur crach fait quil font plus croismoi men fich complet si gen rich tant mieux ça rest opinion tel écart richess entre bezos dison quelquun a million deuros devr,0,None
104,Très bonne synchro bravo httpstcoZmJ2OXdHSJ,tres bon synchro bravo httpstcozmj2oxdhsj,1,None
105,Dat was hot httpstcottAo41n1lM,dat was hot httpstcottao41n1lm,0,None
106,dazot,dazot,0,None
107,A la demande générale le goal à 350 000  subit une réduction EXCEPTIONNELLE de 25 000  et passe à 325 000  TTC messieurs dames nhésitez pas un seul instant,a demand général goal 350 000 sub réduct exceptionnel 25 000 pass 325 000 ttc messieur dam nhésit seul instant,1,None
108,ZEventfr poncefleur httpstco2baVcwnPfA,zeventfr poncefleur httpstco2bavcwnpf,0,None
