,review,clear_review,predicted,candidat
61,On se retrouve tout à lheure sur France Inter  httpstcoh54UZ3ZxRj,retrouv tout lheur franc inter httpstcoh54uz3zxrj,1,None
88,Il faut socialiser les grandes entreprises les mettre sous le contrôle des salariés à commencer par exemple par lindustrie pharmaceutique rtl poutou2022,faut socialis grand entrepris mettr sous contrôl salari commenc exempl lindustr pharmaceut rtl poutou2022,0,None
87,La réduction de 18 centimes du prix de lessence cest que dalle  Il faut bloquer les prix Cest ce genre de choses que disaient les Gilets jaunes RTLMatin poutou2022,réduct 18 centim prix lessenc cest dall faut bloqu prix cest genr chos dis gilet jaun rtlmatin poutou2022,0,None
86,La première mesure que je prendrais serait serait de supprimer la fonction présidentielle Et ensuite sattaquer aux plus riches RTLPresidentielle poutou2022,premi mesur prendr supprim fonction présidentiel ensuit sattaqu plus rich rtlpresidentiel poutou2022,0,None
85,Oui la police tue À Sevran la police a encore tué un automobiliste RTLPresidentielle poutou2022,oui polic tu sevran polic a encor tu automobil rtlpresidentiel poutou2022,0,None
84,On se retrouve tout à lheure sur LCI  httpstcoeRniZqgVWy,retrouv tout lheur lci httpstcoernizqgvwy,1,None
83,On est contre la fonction présidentielle il faut que la population ait les moyens de décider den bas De contrôler remettre en cause ses dirigeants par une démocratie directe LCI Poutou2022,contr fonction présidentiel faut popul moyen décid den bas contrôl remettr caus dirig démocrat direct lci poutou2022,0,None
81,Nos dirigeants découvrent que Poutine est un dictateur Pourtant quand il y a eu les JO et la Coupe du monde ça ne les dérangeait pas LCI Poutou2022,dirig découvrent poutin dictateur pourt quand a jo coup mond ça dérang lci poutou2022,1,None
80,Le gouvernement continue à très mal gérer la pandémie Et il continue la pénurie dans les hôpitaux LCI Poutou2022,gouvern continu tres mal ger pandem continu pénur hôpital lci poutou2022,0,None
79,Cest ce soir à Rennes  httpstcoKrIneos3ZD,cest soir ren httpstcokrineos3zd,0,None
78,Justice pour Angelo  httpstconJ7IBkBKUC,justic angelo httpstconj7ibkbkuc,0,None
77,Encore une salle pleine à craquer ce soir à Rennes  Désolé pour celles et ceux qui nont pas pu rentrer Beaucoup de monde une salle chaleureuse avec beaucoup de jeunes Ça donne la pêche et on va continuer cette belle campagne jusquau bout  httpstcoSS3q6apc2f,encor sall plein craqu soir ren désol cel ceux nont pu rentr beaucoup mond sall chaleur beaucoup jeun ça don pêch va continu cet bel campagn jusquau bout httpstcoss3q6apc2f,1,None
89,On se retrouve tout à lheure sur RTL  httpstcoOrTfJuVr1E,retrouv tout lheur rtl httpstcoortfjuvr1,1,None
76,Cest ce soir à Nantes  httpstco0hUBTz5zNB,cest soir nant httpstco0hubtz5znb,0,None
