,review,clear_review,predicted,candidat
0,Bâtissons la première coalition des droites et des patriotes Notre coalition nest pas une option elle est une nécessité Elle est un devoir Nous avons un pays à reconquérir Lunion fait la force Notre coalition doit faire la FranceUnionNationale presidentielles2022,bât premi coalit droit patriot coalit nest option nécess devoir pay reconquer lunion fait forc coalit doit fair franceunionnational presidentielles2022,0,None
95,Chaque jour notre pays connaît ce genre de tragédies 1800 agressions par jour dans notre pays  Nous ne pouvons plus les cacher nous devons en parler nous nacceptons plus lomerta ZemmourJeunes JeVoteZemmourLe10avrilhttpstcoeCs4TCZb3f,chaqu jour pay connaît genr traged 1800 agress jour pay pouvon plus cach devon parl naccepton plus lomert zemmourjeun jevotezemmourle10avrilhttpstcoecs4tczb3f,1,None
96,Je me souviens dArthur cet étudiant grenoblois qui me racontait que presque tous les jours il se faisait agresser sur le chemin de luniversité et agresser pour rien  Cela me révolteZemmourJeunes JeVoteZemmourLe10avrilhttpstcoYle5tk08mJ,souvien darthur cet étudi grenoblois racont presqu tous jour fais agress chemin lunivers agress rien cel révoltezemmourjeun jevotezemmourle10avrilhttpstcoyle5tk08mj,0,None
97,Mes chers amis je veux vous demander aussi ce soir dexiger toute votre vie le respect de votre identité le respect de votre pays et la protection de votre sécuritéZemmourJeunes JeVoteZemmourLe10avrilhttpstcozltDZNiqAj,cher amis veux demand auss soir dexig tout vi respect ident respect pay protect sécuritézemmourjeun jevotezemmourle10avrilhttpstcozltdzniqaj,1,None
98,Mes chers amis je veux vous demander aussi ce soir dexiger toute votre vie le respect de votre identité le respect de votre pays et la protection de votre sécurité ZemmourJeunes JeVoteZemmourLe10avrilhttpstcozltDZNiqAj,cher amis veux demand auss soir dexig tout vi respect ident respect pay protect sécur zemmourjeun jevotezemmourle10avrilhttpstcozltdzniqaj,1,None
99,Et je veux faire signe aux jeunes Français des territoires et départements doutremer Dimanche il ny aura quune seule France une seule nation un seul peuple ZemmourJeunes JeVoteZemmourLe10avrilhttpstcoa14yaBWpqN,veux fair sign jeun franc territoir départ doutrem dimanch ny quun seul franc seul nation seul peupl zemmourjeun jevotezemmourle10avrilhttpstcoa14yabwpqn,0,None
100,Notre pays compte 9 millions de pauvres et cest 9 millions de trop Et parmi ces 9 millions il y a beaucoup détudiants Beaucoup trop détudiantsZemmourJeunes JeVoteZemmourLe10avrilhttpstcoAoS0i5ZXy8,pay compt 9 million pauvr cest 9 million trop parm 9 million a beaucoup détudi beaucoup trop détudiantszemmourjeun jevotezemmourle10avrilhttpstcoaos0i5zxy8,0,None
94,À la mémoire de Jérémie à la mémoire de votre frère à la mémoire de cet enfant innocent je vous demande sil vous plaît de vous lever et de respecter une minute de silenceZemmourJeunes JeVoteZemmourLe10avrilhttpstcoFWcrZ8MObS,mémoir jérem mémoir frer mémoir cet enfant innocent demand sil plaît lev respect minut silencezemmourjeun jevotezemmourle10avrilhttpstcofwcrz8mob,0,None
101,Battezvous  Exigez la prospérité  Car si vous ne lexigez pas dimanche dans lisoloir elle ne viendra jamais Moi je vous dis quimpossible nest pas français ZemmourJeunes JeVoteZemmourLe10avrilhttpstco3cN3SrI7cA,battezvous exig prosper car si lexig dimanch lisoloir viendr jam dis quimpossibl nest franc zemmourjeun jevotezemmourle10avrilhttpstco3cn3sri7c,0,None
103,Je veux remercier féliciter et applaudir Génération Z  stanislasrig la France est fière de toi et comme tous les militants de Génération Z te ressemblent la France est fière de vous tousZemmourJeunes JeVoteZemmourLe10avrilhttpstco6BjUeNIcsF,veux remerci félicit applaud géner z stanislasrig franc fier comm tous milit géner z ressemblent franc fier touszemmourjeun jevotezemmourle10avrilhttpstco6bjuenicsf,0,None
104,Parce que la France est en danger parce que nous le savons parce que le pays que nous préparons vous y vivrez et vous le ferez vivre chaque mot compte et toutes les vérités doivent être ditesZemmourJeunes JeVoteZemmourLe10avrilhttpstcosUEEy0V1QA,parc franc dang parc savon parc pay préparon vivr fer vivr chaqu mot compt tout vérit doivent être diteszemmourjeun jevotezemmourle10avrilhttpstcosueey0v1q,1,None
105,Jeunesse française vous êtes la figure de proue de notre mouvement vous êtes la boussole de la Reconquête vous êtes létoile qui nous sert de repère dans la nuit politiqueZemmourJeunes JeVoteZemmourLe10avrilhttpstcoDzYIcuYGCP,jeuness français figur prou mouv boussol reconquêt létoil sert reper nuit politiquezemmourjeun jevotezemmourle10avrilhttpstcodzyicuygcp,0,None
106,Jeunesse française vous êtes notre force qui va  Vous êtes ceux qui se rient des sondages parce que vous savez que seule importe la foi Vous êtes la preuve quimpossible nest pas français Merci à vous dexister ZemmourJeunes JeVoteZemmourLe10avrilhttpstcoGBLQoS95Jx,jeuness français forc va ceux rient sondag parc sav seul import foi preuv quimpossibl nest franc merc dexist zemmourjeun jevotezemmourle10avrilhttpstcogblqos95jx,1,None
107,Quel incroyable moment  Merci à cette jeunesse française ZemmourJeunes JeVoteZemmourLe10avrilhttpstco0rcjqSozWl,quel incroi moment merc cet jeuness français zemmourjeun jevotezemmourle10avrilhttpstco0rcjqsozwl,1,None
108,Je suis bientôt en direct au meeting de la jeunesse   httpstcoBKa3f4EaAiJeVoteZemmourLe10avril ZemmourJeunes,bientôt direct meeting jeuness httpstcobka3f4eaaijevotezemmourle10avril zemmourjeun,0,None
102,Tout mon soutien Aucun peuple ne doit subir cela httpstcoYJSKbaP3EF,tout soutien aucun peupl doit sub cel httpstcoyjskbap3ef,1,None
93,Vous êtes ceux qui ont le plus souffert de la politique sanitaire le plus souvent de manière injuste et cruelle et le pouvoir a méprisé votre souffrance ZemmourJeunes JeVoteZemmourLe10avrilhttpstcoB0tGeqECc2,ceux plus souffert polit sanitair plus souvent mani injust cruel pouvoir a mépris souffranc zemmourjeun jevotezemmourle10avrilhttpstcob0tgeqecc2,1,None
92,Après tout ce que lÉducation nationale vous a fait subir cest un miracle que vous soyez là  Honneur à vous Vous avez résisté à la propagande Quelle force de conviction quel esprit critique ZemmourJeunes JeVoteZemmourLe10avrilhttpstcohNqsXC0SEQ,apres tout léduc national a fait sub cest miracl là honneur résist propagand quel forc convict quel esprit critiqu zemmourjeun jevotezemmourle10avrilhttpstcohnqsxc0seq,0,None
91,La vraie écologie est française Elle est dans la beauté de nos paysages et de nos villages La vraie écologie cest nous et nous sommes mille fois plus écologistes que les prétendus écologistesZemmourJeunes JeVoteZemmourLe10avrilhttpstco9JPqzwZUkL,vrai écolog français beaut paysag villag vrai écolog cest mill fois plus écolog prétendus écologisteszemmourjeun jevotezemmourle10avrilhttpstco9jpqzwzukl,1,None
76,Je serai au second tour  Voir et revoir mon intervention dans Elysee2022 sur YouTube  httpstcoaaE0yfWjh9MacronDehorsDesLePremierTour JeVoteZemmourLe10avril httpstcoTgc3uwNCkP,second tour voir revoir intervent elysee2022 youtub httpstcoaae0yfwjh9macrondehorsdeslepremiertour jevotezemmourle10avril httpstcotgc3uwnckp,1,None
77,Quelle belle marseillaise JeFaisMentirLesSondages JeVoteZemmourLe10avrilhttpstco1OjGUEZLE3,quel bel marseillais jefaismentirlessondag jevotezemmourle10avrilhttpstco1ojguezle3,1,None
155,Le père de Jérémie Cohen témoigneÉcoutez son témoignage sur YouTube  httpstcoylC2dT768cJeremyCohen httpstconhXJX4K5V3,per jérem cohen témoigneécout témoignag youtub httpstcoylc2dt768cjeremycohen httpstconhxjx4k5v3,1,None
79,Revivez mon meeting dhier soir au Palais des Sports 5 500 jeunes du plus grand mouvement de France  Quelle fougue  Quelle ferveur  Lavenir est chez Reconquête Merci   httpstcodrcfVi4BDZJeFaisMentirLesSondages JeVoteZemmourLe10avril httpstcowm4CzpGkuY,reviv meeting dhi soir pal sport 5 500 jeun plus grand mouv franc quel fougu quel ferveur laven chez reconquêt merc httpstcodrcfvi4bdzjefaismentirlessondag jevotezemmourle10avril httpstcowm4czpgkuy,1,None
80,Les Français qui me suivent voteront pour le seul qui veut sauver la France Nos enfants nous regardent Ce sont eux qui vivront dans la France que nous leur laisseronsJeFaisMentirLesSondages JeVoteZemmourLe10avril Elections2022httpstco2EicIofhxe,franc suivent vot seul veut sauv franc enfant regardent vivront franc laisseronsjefaismentirlessondag jevotezemmourle10avril elections2022httpstco2eiciofhx,0,None
81,Jenfermerai les délinquants avec des peines plancher je renverrai les délinquants étrangers et je déchoirai de leur nationalité les binationaux délinquants et criminelsJeFaisMentirLesSondages JeVoteZemmourLe10avril Elections2022httpstcoPy5WwusazZ,jenferm délinqu pein planch renverr délinqu étranger déchoir national binational délinqu criminelsjefaismentirlessondag jevotezemmourle10avril elections2022httpstcopy5wwusazz,0,None
82,Mon meeting pour les jeunes a de quoi démentir tous vos sondages Avezvous vu la ferveur et lenthousiasme de ces 5 500 jeunes  Personne dautre ne fait ça JeFaisMentirLesSondages JeVoteZemmourLe10avril Elections2022httpstco0C2uKNX9l6,meeting jeun a quoi dément tous sondag avezvous vu ferveur lenthousiasm 5 500 jeun person dautr fait ça jefaismentirlessondag jevotezemmourle10avril elections2022httpstco0c2uknx9l6,0,None
83,Je dis la vérité Je ne suis ni un politicien ni un tacticien Je veux montrer aux électeurs la véritéJeFaisMentirLesSondages JeVoteZemmourLe10avril Elections2022httpstcoxrv7O9ZmBd,dis vérit ni politicien ni tacticien veux montr électeur véritéjefaismentirlessondag jevotezemmourle10avril elections2022httpstcoxrv7o9zmbd,1,None
84,Quand je dis quil faut sauver la France du Grand remplacement JeanLuc Mélenchon veut lislamisation du pays Mme Le Pen veut sallier avec lui Pas moiJeFaisMentirLesSondages JeVoteZemmourLe10avril Elections2022httpstco38bDyeQTlW,quand dis quil faut sauv franc grand remplac jeanluc mélenchon veut lislamis pay mme pen veut salli moijefaismentirlessondag jevotezemmourle10avril elections2022httpstco38bdyeqtlw,0,None
