,review,clear_review,predicted,candidat
76,Je mengage sur le RIC à partir de 500000 signatures je consulterai les Français sur tous les grands sujets immigration code pénal je ferai un référendum sur lappartenance de la France à lUnion européenne Il faut redonner confiance aux Français par le vote CNews,mengag ric part 500000 signatur consult franc tous grand sujet immigr cod pénal fer référendum lapparten franc lunion européen faut redon confianc franc vot cnew,1,None
90,Sur les déserts médicaux je mettrai également en place une bourse aux étudiants en médecine pour financer leurs études en échange de leur installation en zone sous dotée durant 5 ans minimum BonjourChezVous publicsenat,désert médical mettr égal plac bours étudi médecin financ leur étud échang install zon sous dot dur 5 an minimum bonjourchezvous publicsenat,0,None
89,Sur lenvironnement je supprimerai toute nouvelle construction déoliennes qui sont inefficaces polluent nos paysages nos sols et ne subviennent pas à nos besoins énergétiques BonjourChezVous publicsenat,lenviron supprim tout nouvel construct déolien inefficac polluent paysag sol subviennent besoin énerget bonjourchezvous publicsenat,0,None
88,Je suis le seul candidat qui rendra aux Français leur liberté  je supprimerai le passe sanitairevaccinal qui nest que suspendu  je réintègrerai les soignants et les indemniserai  jinscrirai dans la Constitution linterdiction du confinement comme au Japon publicsenat,seul candidat rendr franc libert supprim pass sanitairevaccinal nest suspendu réintegr soign indemnis jinscr constitu linterdict confin comm japon publicsenat,0,None
130,Je rendrai aux Français leur liberté à la France son indépendance Jorganiserai un grand référendum sur lappartenance de la France à lUnion européenne20h02 TF1 10MinutesPourConvaincre,rendr franc libert franc indépend jorganis grand référendum lapparten franc lunion européenne20h02 tf1 10minutespourconvaincr,1,None
86,Il ny a pas eu de campagne présidentielle  pas de débat inégalité des temps de parole aucun sujet de fond na été abordé BonjourChezVous publicsenat,ny a campagn présidentiel débat inégal temp parol aucun sujet fond na abord bonjourchezvous publicsenat,0,None
85,Il y a une alliance des souverainistes avec f philippot pour les législatives et nous présenterons des candidats partout BonjourChezVous publicsenat,a allianc souverain f philippot législ présent candidat partout bonjourchezvous publicsenat,0,None
131,Ma première action au sommet de létat  mettre fin aux conflits dintérêt et mettre en oeuvre une grande opération mains propres 20h02 TF1 10MinutesPourConvaincre McKinseyMacronGate,premi action sommet létat mettr fin conflit dintérêt mettr oeuvr grand oper main propr 20h02 tf1 10minutespourconvaincr mckinseymacrongat,1,None
83,Je demande à ce que nous laissions les Français se déterminer euxmêmes quils votent selon leur conscience et leurs convictions pas selon des sondages manipulés  CNews,demand laission franc détermin euxmêm quil votent selon conscienc leur convict selon sondag manipul cnew,0,None
82,Je le redis  je suis le seul qui supprimera immédiatement et définitivement le passe sanitairevaccinal et qui réintégrera les soignants  Les Français ont loccasion maintenant de voter pour ChoisirLaLiberte CNews,red seul supprim immédiat définit pass sanitairevaccinal réintegr soign franc loccas mainten vot choisirlalibert cnew,0,None
81,Les Français veulentils être acteurs ou spectateurs de leur destin  Il est capital quils aient conscience de leur pouvoir à changer les choses par le bulletin de vote CNews,franc veulentil être acteur spectateur destin capital quil conscienc pouvoir chang chos bulletin vot cnew,0,None
132,Je supprimerai le passe sanitaire qui na été que suspendu je réintègrerai les soignants exclus et les indemniserai et jinscrirai dans la Constitution linterdiction du confinement comme au Japon20h02 TF1 10MinutesPourConvaincre,supprim pass sanitair na suspendu réintegr soign exclus indemnis jinscr constitu linterdict confin comm japon20h02 tf1 10minutespourconvaincr,0,None
133,Pour une transparence totale sur la mortalité des moins de 45 ans en fonction du statut vaccinalhttpstcolD6ihtdgWY,transparent total mortal moin 45 an fonction statut vaccinalhttpstcold6ihtdgwy,0,None
134,5 à 8 de hausse sur les denrées essentielles La TVA à 0 sur une quinzaine de produits de première nécessité que je propose javais déposé un projet de loi dès 2019 est urgentissimehttpstcolpe7kkQ4Ta,5 8 hauss denr essentiel tva 0 quinzain produit premi nécess propos jav dépos projet loi des 2019 urgentissimehttpstcolpe7kkq4t,0,None
77,Je prendrai 9 milliards d sur les 10 mds versés chaque année à lUE pour le rendre aux Français et financer notre système de retraite quil nest pas nécessaire de sacrifier CNews,prendr 9 milliard 10 md vers chaqu anné lu rendr franc financ system retrait quil nest nécessair sacrifi cnew,0,None
