,review,clear_review,predicted,candidat
0,Je condamne vigoureusement lagression violente dont hanane mnsr et ses amis ont été lobjet hier à Grenoble par un groupe dantifa et lui apporte tout mon soutien Jespère que ses agresseurs seront rapidement retrouvés et punis httpstcoU24oH0hthO,condamn vigour lagress violent dont hanan mnsr amis lobjet hi grenobl group dantif apport tout soutien jesper agresseur rapid retrouv pun httpstcou24oh0htho,0,None
106,Je serai la présidente qui ne laissera rien passer  ni la haine ni le mépris ni limpunité PécressePrésidente httpstcozcp7j4v4F3,président laiss rien pass ni hain ni mepr ni limpun pécresseprésident httpstcozcp7j4v4f3,0,None
105,Chaque Français a le droit au même respect et à la même dignité mais nul ne peut se prévaloir de ses origines et de sa religion pour échapper à la loi commune Mêmes droits mêmes devoirs Cest ça la République une et indivisible Cest ça la France PécressePrésidente httpstco03MYlb3raF,chaqu franc a droit respect dignit nul peut prévaloir origin religion échapp loi commun mêm droit mêm devoir cest ça républ indivisibl cest ça franc pécresseprésident httpstco03mylb3raf,0,None
104,Je veux stopper ce train fou de largent magiqueAucun de mes concurrents na le courage de dire la vérité La vérité je vous la dis  pour redonner du pouvoir dachat et pour réindustrialiser il faut gaspiller moins dépenser mieux et travailler plus PécressePrésidente httpstcoow7ZFUQ4cZ,veux stopp train fou largent magiqueaucun concurrent na courag dir vérit vérit dis redon pouvoir dachat réindustrialis faut gaspill moin dépens mieux travaill plus pécresseprésident httpstcoow7zfuq4cz,0,None
103,Je suis la candidate du pouvoir dachatContre la hausse des prix de lénergie jentamerai une action vigoureuse sur tous les fronts Jinstaurerai la TVA à 55 au lieu de 10 sur les transports collectifs  trains bus taxis  pour en baisser les prix PécressePrésidente httpstcoaByftTaYhb,candidat pouvoir dachatcontr hauss prix lénerg jentam action vigour tous front jinstaur tva 55 lieu 10 transport collect train bus tax baiss prix pécresseprésident httpstcoabyfttayhb,1,None
102,Je crois au pouvoir de la libertéJe veux répondre à la demande de liberté du peuple de France Ce cri est le nôtre cest celui dune droite libre La liberté je la veux pour tous je la veux partout   PécressePrésidente httpstcofaLLKpWjwu,crois pouvoir libertej veux répondr demand libert peupl franc cri nôtr cest celui dun droit libr libert veux tous veux partout pécresseprésident httpstcofallkpwjwu,1,None
101,Un peuple fier est un peuple invincibleJen veux à ceux qui veulent éteindre la flamme de la fierté française Je suis ladversaire de cette entreprise de démolition française Refusez limmobilisme et lextrémisme Je porte un autre destin pour notre pays PécressePrésidente httpstcoivTU42jPcV,peupl fi peupl invinciblejen veux ceux veulent éteindr flamm fiert français ladversair cet entrepris démolit français refus limmobil lextrem port autr destin pay pécresseprésident httpstcoivtu42jpcv,1,None
100,La France ne pourra pas affronter les chocs en se donnant aux démagogues à ceux qui comme Le Pen Zemmour ou Mélenchon rêvaient tous dêtre des Poutine français  Ces candidats sont disqualifiés pour défendre la France et pour défendre les Français PécressePrésidente httpstcoZI1ckNGmHI,franc pourr affront choc don démagogu ceux comm pen zemmour mélenchon rêv tous dêtr poutin franc candidat disqualifi défendr franc défendr franc pécresseprésident httpstcozi1ckngmh,1,None
99,Jappelle tous ceux qui veulent construire lavenir de notre magnifique pays à nous rejoindre  Rejoigneznous  Rejoignezmoi  PecressePresidente httpstcommyN3SFIkV,jappel tous ceux veulent construir laven magnif pay rejoindr rejoigneznous rejoignezmoi pecressepresident httpstcommyn3sfikv,1,None
98,Soyez Français  Soyez libres  Il nous reste une semaine pour convaincre et pour faire gagner la France Vous avez le pouvoir de choisir une France courageuse une France forte une France juste Une France brillante qui na pas peur dêtre grande PécressePrésidente httpstcoZYP3D08xXJ,franc libr rest semain convaincr fair gagn franc pouvoir chois franc courag franc fort franc just franc brill na peur dêtr grand pécresseprésident httpstcozyp3d08xxj,1,None
